Match ID,Map ID,Team 1,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Total Game Time,Map VOD
1,1,Minnesota ROKKR,Los Angeles Thieves,Stage 1 Week 1,Hardpoint,Garrison,1,194,250,Los Angeles Thieves,,https://youtu.be/MOJL3t9lufQ?t=363
1,2,Minnesota ROKKR,Los Angeles Thieves,Stage 1 Week 1,Search and Destroy,Miami,2,6,4,Minnesota ROKKR,11:07,https://youtu.be/MOJL3t9lufQ?t=1642
1,3,Minnesota ROKKR,Los Angeles Thieves,Stage 1 Week 1,Control,Garrison,3,1,3,Los Angeles Thieves,10:24,https://youtu.be/MOJL3t9lufQ?t=3203
1,4,Minnesota ROKKR,Los Angeles Thieves,Stage 1 Week 1,Hardpoint,Moscow,4,60,250,Los Angeles Thieves,8:04,https://youtu.be/MOJL3t9lufQ?t=4332
2,5,Seattle Surge,Dallas Empire,Stage 1 Week 1,Hardpoint,Crossroads,1,98,250,Dallas Empire,8:39,https://youtu.be/WgTjc8Mnl0g?t=506
2,6,Seattle Surge,Dallas Empire,Stage 1 Week 1,Search and Destroy,Miami,2,2,6,Dallas Empire,9:51,https://youtu.be/WgTjc8Mnl0g?t=1472
2,7,Seattle Surge,Dallas Empire,Stage 1 Week 1,Control,Garrison,3,1,3,Dallas Empire,8:15,https://youtu.be/WgTjc8Mnl0g?t=2816
3,8,Paris Legion,OpTic Chicago,Stage 1 Week 1,Hardpoint,Raid,1,102,250,OpTic Chicago,7:37,https://youtu.be/ZL4ySDQjrl4?t=334
3,9,Paris Legion,OpTic Chicago,Stage 1 Week 1,Search and Destroy,Checkmate,2,4,6,OpTic Chicago,9:14,https://youtu.be/ZL4ySDQjrl4?t=1167
3,10,Paris Legion,OpTic Chicago,Stage 1 Week 1,Control,Raid,3,2,3,OpTic Chicago,13:13,https://youtu.be/ZL4ySDQjrl4?t=2453
4,11,Los Angeles Guerrillas,Atlanta FaZe,Stage 1 Week 1,Hardpoint,Crossroads,1,156,250,Atlanta FaZe,8:49,https://youtu.be/D6Vj8kwvY8Q?t=498
4,12,Los Angeles Guerrillas,Atlanta FaZe,Stage 1 Week 1,Search and Destroy,Garrison,2,4,6,Atlanta FaZe,12:01,https://youtu.be/D6Vj8kwvY8Q?t=1432
4,13,Los Angeles Guerrillas,Atlanta FaZe,Stage 1 Week 1,Control,Garrison,3,1,3,Atlanta FaZe,11:39,https://youtu.be/D6Vj8kwvY8Q?t=3256
5,14,Paris Legion,Los Angeles Guerrillas,Stage 1 Week 1,Hardpoint,Crossroads,1,199,250,Los Angeles Guerrillas,10:56,https://youtu.be/vh7kFgrrIHc?t=1365
