Match ID,Team 1,Team 2,Event,Date,Team 1 Score,Team 2 Score,Winner,Match VOD
1,Minnesota ROKKR,Los Angeles Thieves,Stage 1 Week 1,2/11/2021,1,3,Los Angeles Thieves,https://youtu.be/MOJL3t9lufQ?t=1
2,Seattle Surge,Dallas Empire,Stage 1 Week 1,2/11/2021,0,3,Dallas Empire,https://youtu.be/WgTjc8Mnl0g?t=1
3,Paris Legion,OpTic Chicago,Stage 1 Week 1,2/12/2021,0,3,OpTic Chicago,https://youtu.be/ZL4ySDQjrl4?t=1
4,Los Angeles Guerrillas,Atlanta FaZe,Stage 1 Week 1,2/12/2021,0,3,Atlanta FaZe,https://youtu.be/D6Vj8kwvY8Q?t=1
5,Paris Legion,Los Angeles Guerrillas,Stage 1 Week 1,2/13/2021,2,3,Los Angeles Guerrillas,https://youtu.be/vh7kFgrrIHc?t=1
6,Toronto Ultra,Florida Mutineers,Stage 1 Week 1,2/13/2021,3,1,Toronto Ultra,https://youtu.be/6nrr8gWcgQU?t=1
7,New York Subliners,Los Angeles Thieves,Stage 1 Week 1,2/13/2021,0,3,Los Angeles Thieves,https://youtu.be/2seJ8hw2W48?t=1
8,Seattle Surge,London Royal Ravens,Stage 1 Week 1,2/14/2021,3,2,Seattle Surge,https://youtu.be/zqo4-l25Qcc?t=1
9,Minnesota ROKKR,Dallas Empire,Stage 1 Week 1,2/14/2021,3,2,Minnesota ROKKR,https://youtu.be/oTxIBSsflQ0?t=1
10,OpTic Chicago,Atlanta FaZe,Stage 1 Week 1,2/14/2021,2,3,Atlanta FaZe,https://youtu.be/gWnckFjeIlc?t=1
11,Los Angeles Guerrillas,Florida Mutineers,Super Week,2/22/2021,1,3,Florida Mutineers,https://youtu.be/5xXKtppxqZ0?t=1
12,Toronto Ultra,Atlanta FaZe,Super Week,2/22/2021,1,3,Atlanta FaZe,https://youtu.be/ApM3PbaOzFA?t=1
13,Paris Legion,Florida Mutineers,Super Week,2/23/2021,3,0,Paris Legion,https://youtu.be/7p835_EQCR4?t=1
14,New York Subliners,London Royal Ravens,Super Week,2/23/2021,3,0,New York Subliners,https://youtu.be/cp-ygBBiMtE?t=2
15,Seattle Surge,Minnesota ROKKR,Super Week,2/23/2021,0,3,Minnesota ROKKR,https://youtu.be/ETdDoG6ErRk?t=1
16,London Royal Ravens,Dallas Empire,Super Week,2/24/2021,2,3,Dallas Empire,https://youtu.be/qBtZutICJ6E?t=1
17,Seattle Surge,Los Angeles Thieves,Super Week,2/24/2021,2,3,Los Angeles Thieves,https://youtu.be/oTjvvY09Wvc?t=1
18,Toronto Ultra,OpTic Chicago,Super Week,2/24/2021,1,3,OpTic Chicago,https://youtu.be/zMY98eV8R4M?t=1
19,New York Subliners,Minnesota ROKKR,Super Week,2/25/2021,3,0,New York Subliners,https://youtu.be/wozOoRzSCT8?t=1
20,Los Angeles Guerrillas,OpTic Chicago,Super Week,2/25/2021,1,3,OpTic Chicago,https://youtu.be/durOg_h8Y74?t=1
