Match ID,Map ID,Event,Team,Opponent,Mode,Map,Player,Score,Kills,Deaths,K/D,Engagements,Differential,Damage,Map Result,Total Hill Time,P1 Time,P2 Time,P3 Time,P4 Time,P5 Time,First Bloods,First Deaths,Bombs Planted,Bombs Defused,Avg SnD Kills/Round,Avg SnD Dmg/Round,Tiers Captured,Offense Kills,Offense OBJ Kills,Defense Kills,Defense OBJ Kills,Avg Control Dmg/Round
1,1,Kickoff Classic,New York Subliners,Dallas Empire,Hardpoint,Garrison,Mack,,21,29,0.72,50,-8,,Loss,66,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,New York Subliners,Dallas Empire,Hardpoint,Garrison,Clayster,,18,32,0.56,50,-14,,Loss,53,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,New York Subliners,Dallas Empire,Hardpoint,Garrison,Asim,,25,28,0.89,53,-3,,Loss,53,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,New York Subliners,Dallas Empire,Hardpoint,Garrison,Diamondcon,,27,28,0.96,55,-1,,Loss,36,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,Dallas Empire,New York Subliners,Hardpoint,Garrison,Shotzzy,,35,17,2.06,52,18,,Win,113,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,Dallas Empire,New York Subliners,Hardpoint,Garrison,Crimsix,,24,26,0.92,50,-2,,Win,17,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,Dallas Empire,New York Subliners,Hardpoint,Garrison,iLLey,,28,26,1.08,54,2,,Win,82,,,,,,,,,,,,,,,,,
1,1,Kickoff Classic,Dallas Empire,New York Subliners,Hardpoint,Garrison,Huke,,30,22,1.36,52,8,,Win,64,,,,,,,,,,,,,,,,,
1,2,Kickoff Classic,Dallas Empire,New York Subliners,Search and Destroy,Checkmate,Shotzzy,590,7,7,1.00,14,0,1798,Win,,,,,,,1,0,0,0,0.86,201.14,,,,,,
1,2,Kickoff Classic,Dallas Empire,New York Subliners,Search and Destroy,Checkmate,Crimsix,265,3,4,0.75,7,-1,1284,Win,,,,,,,0,1,0,0,0.43,175.57,,,,,,
1,2,Kickoff Classic,Dallas Empire,New York Subliners,Search and Destroy,Checkmate,iLLey,890,8,4,2.00,12,4,1299,Win,,,,,,,0,1,0,1,1.14,185.57,,,,,,
1,2,Kickoff Classic,Dallas Empire,New York Subliners,Search and Destroy,Checkmate,Huke,665,9,6,1.50,15,3,1113,Win,,,,,,,4,1,0,0,0.86,124.86,,,,,,
1,2,Kickoff Classic,New York Subliners,Dallas Empire,Search and Destroy,Checkmate,Mack,425,8,8,1.00,16,0,1352,Loss,,,,,,,0,1,0,0,1,171.71,,,,,,
1,2,Kickoff Classic,New York Subliners,Dallas Empire,Search and Destroy,Checkmate,Clayster,425,5,6,0.83,11,-1,1435,Loss,,,,,,,1,3,0,0,0.71,189,,,,,,
1,2,Kickoff Classic,New York Subliners,Dallas Empire,Search and Destroy,Checkmate,Asim,575,5,6,0.83,11,-1,1236,Loss,,,,,,,1,1,1,0,0.71,172.29,,,,,,
1,2,Kickoff Classic,New York Subliners,Dallas Empire,Search and Destroy,Checkmate,Diamondcon,150,3,7,0.43,10,-4,765,Loss,,,,,,,1,0,0,0,0.43,94.29,,,,,,
